;datumcas;CO2_ppm
775;9.11.2011;435,5905
776;9.11.2011;440,316
777;9.11.2011;444,177
778;9.11.2011;439,0678
779;9.11.2011;440,8022
780;9.11.2011;444,3254
781;9.11.2011;443,1481
782;9.11.2011;441,7361
783;9.11.2011;438,6243
784;9.11.2011;441,4773
785;9.11.2011;439,4906
786;9.11.2011;443,8215
787;9.11.2011;440,6806
788;9.11.2011;440,6824
789;9.11.2011;443,2166
790;9.11.2011;439,1057
791;9.11.2011;443,8623
792;9.11.2011;442,8826
793;9.11.2011;441,5212
794;9.11.2011;437,7051
795;9.11.2011;442,5858
796;9.11.2011;440,7292
797;9.11.2011;441,4476
798;9.11.2011;443,4383
799;9.11.2011;437,357
800;9.11.2011;443,6458
801;9.11.2011;441,0075
802;9.11.2011;442,6811
803;9.11.2011;443,1012
804;9.11.2011;443,8961
805;9.11.2011;440,1794
806;9.11.2011;443,9563
807;9.11.2011;443,9306
808;9.11.2011;445,964
809;9.11.2011;442,9659
810;9.11.2011;443,6573
811;9.11.2011;441,1763
812;9.11.2011;439,9269
813;9.11.2011;441,7799
814;9.11.2011;443,7345
815;9.11.2011;442,5445
816;9.11.2011;439,2946
817;9.11.2011;440,7383
818;9.11.2011;438,6469
819;9.11.2011;444,1737
820;9.11.2011;443,7867
821;9.11.2011;444,2284
822;9.11.2011;440,0403
823;9.11.2011;443,925
824;9.11.2011;441,7231
825;9.11.2011;442,5422
826;9.11.2011;442,3641
827;9.11.2011;442,2413
828;9.11.2011;434,6835
829;9.11.2011;437,2603
830;9.11.2011;448,1958
831;9.11.2011;441,8415
832;9.11.2011;437,3603
833;9.11.2011;444,0576
834;9.11.2011;443,088
835;9.11.2011;443,4658
836;9.11.2011;445,7654
837;9.11.2011;442,6029
838;9.11.2011;440,9471
839;9.11.2011;447,5014
840;9.11.2011;448,4361
841;9.11.2011;443,0642
842;9.11.2011;442,5361
843;9.11.2011;443,0112
844;9.11.2011;441,8802
845;9.11.2011;442,3821
846;9.11.2011;445,843
847;9.11.2011;443,4225
848;9.11.2011;446,194
849;9.11.2011;448,2272
850;9.11.2011;443,5198
851;9.11.2011;447,0657
852;9.11.2011;443,3573
853;9.11.2011;446,8184
854;9.11.2011;447,7752
855;9.11.2011;444,8665
856;9.11.2011;444,8378
857;9.11.2011;446,0309
858;9.11.2011;444,2858
859;9.11.2011;448,1066
860;9.11.2011;448,2071
861;9.11.2011;445,3399
862;9.11.2011;445,8099
863;9.11.2011;444,6098
864;9.11.2011;446,9748
865;9.11.2011;442,3305
866;9.11.2011;445,5235
867;9.11.2011;441,217
868;9.11.2011;442,3206
869;9.11.2011;445,032
870;9.11.2011;442,7509
871;9.11.2011;447,2241
872;9.11.2011;444,3529
873;9.11.2011;446,8021
874;9.11.2011;447,3228
875;9.11.2011;447,9455
876;9.11.2011;446,4162
877;9.11.2011;444,6143
878;9.11.2011;443,6509
879;9.11.2011;445,1834
880;9.11.2011;445,8828
881;9.11.2011;441,1418
882;9.11.2011;445,1021
883;9.11.2011;447,0582
884;9.11.2011;445,7848
885;9.11.2011;444,8966
886;9.11.2011;450,5905
887;9.11.2011;449,0668
888;9.11.2011;447,3914
889;9.11.2011;446,7218
890;9.11.2011;444,2785
891;9.11.2011;445,7368
892;9.11.2011;443,5625
893;9.11.2011;445,6658
894;9.11.2011;445,9499
895;9.11.2011;443,6178
896;9.11.2011;445,7888
897;9.11.2011;444,4769
898;9.11.2011;448,5483
899;9.11.2011;447,0474
900;9.11.2011;444,0982
901;9.11.2011;442,3664
902;9.11.2011;452,0887
903;9.11.2011;447,5979
904;9.11.2011;447,3873
905;9.11.2011;446,1399
906;9.11.2011;445,6548
907;9.11.2011;446,7914
908;9.11.2011;446,6681
909;9.11.2011;445,6652
910;9.11.2011;449,7349
911;9.11.2011;449,072
912;9.11.2011;446,3135
913;9.11.2011;451,1396
914;9.11.2011;446,1461
915;9.11.2011;446,8289
916;9.11.2011;444,9154
917;9.11.2011;446,8626
918;9.11.2011;447,1606
919;9.11.2011;446,7044
920;9.11.2011;447,8992
921;9.11.2011;445,2671
922;9.11.2011;442,9258
923;9.11.2011;450,2575
924;9.11.2011;442,897
925;9.11.2011;445,9498
926;9.11.2011;448,3314
927;9.11.2011;448,3456
928;9.11.2011;446,8415
929;9.11.2011;443,5697
930;9.11.2011;447,0535
931;9.11.2011;449,6349
932;9.11.2011;447,5849
933;9.11.2011;447,1862
934;9.11.2011;449,6206
935;9.11.2011;446,6521
936;9.11.2011;450,3053
937;9.11.2011;445,8736
938;9.11.2011;454,1257
939;9.11.2011;444,8116
940;9.11.2011;447,4673
941;9.11.2011;445,7471
942;9.11.2011;447,9179
943;9.11.2011;450,3035
944;9.11.2011;448,9609
945;9.11.2011;449,4265
946;9.11.2011;447,7148
947;9.11.2011;454,4394
948;9.11.2011;446,2637
949;9.11.2011;446,6901
950;9.11.2011;447,4121
951;9.11.2011;447,1972
952;9.11.2011;450,9136
953;9.11.2011;447,4303
954;9.11.2011;445,5215
955;9.11.2011;446,8609
956;9.11.2011;448,4678
957;9.11.2011;449,0639
958;9.11.2011;446,4198
959;9.11.2011;448,8532
960;9.11.2011;447,2365
961;9.11.2011;448,6119
962;9.11.2011;448,4858
963;9.11.2011;445,9136
964;9.11.2011;444,4235
965;9.11.2011;448,3973
966;9.11.2011;447,9165
967;9.11.2011;449,9627
968;9.11.2011;445,4788
969;9.11.2011;453,4012
970;9.11.2011;446,1325
971;9.11.2011;444,9757
972;9.11.2011;444,1471
973;9.11.2011;446,603
974;9.11.2011;448,1088
975;9.11.2011;448,4141
976;9.11.2011;445,3924
977;9.11.2011;447,1666
978;9.11.2011;450,3574
979;9.11.2011;447,6422
980;9.11.2011;450,1015
981;9.11.2011;445,5955
982;9.11.2011;447,1255
983;9.11.2011;446,6526
984;9.11.2011;451,481
985;9.11.2011;447,381
986;9.11.2011;446,9234
987;9.11.2011;448,0325
988;9.11.2011;448,2509
989;9.11.2011;449,7657
990;9.11.2011;450,4683
991;9.11.2011;448,8604
992;9.11.2011;453,739
993;9.11.2011;448,4171
994;9.11.2011;449,9476
995;9.11.2011;452,1958
996;9.11.2011;450,1486
997;9.11.2011;449,0033
998;9.11.2011;453,3678
999;9.11.2011;449,8937
1000;9.11.2011;448,2927
1001;9.11.2011;448,6454
1002;9.11.2011;448,3081
1003;9.11.2011;448,3182
